Emittent;BaFin-ID;ISIN;Meldepflichtiger;Position / Status;Art des Instruments;Art des Geschäfts;Durchschnittspreis;Aggregiertes Volumen;Mitteilungsdatum;Datum des Geschäfts;Ort des Geschäfts;Datum der Aktivierung
Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München;40001467;DE0008430026;Häusler, Gerd Rolf;Aufsichtsrat;Aktie;Kauf;320,40 EUR;320.400,00 EUR;15.03.2023;13.03.2023;;15.03.2023 15:13:33
SAP SE;40001244;DE0007164600;Klein-Magar, Margret;Aufsichtsrat;Aktie;Sonstiges;107,71 EUR;5.450,39 EUR;15.03.2023;13.03.2023;CBOE EUROPE - DXE ORDER BOOKS (NL);15.03.2023 11:40:23
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;26,97 EUR;22.681,10 EUR;16.03.2023;13.03.2023;Xetra;17.03.2023 07:55:15
Klöckner & Co SE;50038169;;SWOCTEM GmbH;in enger Beziehung;Derivat;Sonstiges;955,69 EUR;286.707,00 EUR;15.03.2023;13.03.2023;Eurex Deutschland;17.03.2023 07:17:29
JDC Group AG;40005122;DE000A0B9N37;Grace Beteiligungs GmbH;in enger Beziehung;Aktie;Kauf;16,48 EUR;19.678,90 EUR;14.03.2023;13.03.2023;XETRA;15.03.2023 08:45:44
Hypoport SE;50055825;DE0005493365;Revenia GmbH;in enger Beziehung;Aktie;Sonstiges;;;17.03.2023;13.03.2023;;20.03.2023 08:18:17
KION GROUP AG;40020514;DE000KGX8881;Dandashly, Hasan;Vorstand;Aktie;Kauf;33,79 EUR;101.367,94 EUR;13.03.2023;10.03.2023;;13.03.2023 15:21:53
LEG Immobilien SE;40019594;DE000LEG1110;von Lackum, Lars;Vorstand;Aktie;Kauf;59,50 EUR;41.650,00 EUR;13.03.2023;10.03.2023;Tradegate;13.03.2023 11:44:33
HUGO BOSS AG;40000943;DE000A1PHFF7;Müller, Yves Marc;Vorstand;Aktie;Kauf;60,44 EUR;60.440,00 EUR;13.03.2023;10.03.2023;XETRA;13.03.2023 10:04:45
METRO AG;40025939;DE000BFB0019;Greubel, Dr. Steffen;Vorstand;Aktie;Kauf;7,97 EUR;119.625,00 EUR;10.03.2023;10.03.2023;Unicredit Bank AG;13.03.2023 09:34:32
LEG Immobilien SE;40019594;DE000LEG1110;Wiegel, Dr. Volker;Vorstand;Aktie;Kauf;58,82 EUR;41.174,00 EUR;10.03.2023;10.03.2023;Xetra;13.03.2023 09:34:32
STRATEC SE;40001599;DE000STRA555;Wolfinger, Marcus;Vorstand;Aktie;Kauf;68,70 EUR;13.740,00 EUR;10.03.2023;10.03.2023;QUOTRIX;13.03.2023 09:23:03
STRATEC SE;40001599;DE000STRA555;Heni, Prof. Dr. Georg;Aufsichtsrat;Aktie;Kauf;67,50 EUR;27.000,00 EUR;10.03.2023;10.03.2023;gettex (Börse München);13.03.2023 09:58:20
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;27,00 EUR;42.013,80 EUR;13.03.2023;10.03.2023;Xetra;14.03.2023 14:02:12
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Kauf;11,30 EUR;2.825,00 EUR;13.03.2023;10.03.2023;Xetra;14.03.2023 14:02:12
Nexus AG;40002066;DE0005220909;Heilig, Elias;in enger Beziehung;Aktie;Sonstiges;;;17.03.2023;10.03.2023;;20.03.2023 12:50:38
Nexus AG;40002066;DE0005220909;Heilig, Andreas;in enger Beziehung;Aktie;Sonstiges;;;17.03.2023;10.03.2023;;20.03.2023 12:27:54
Infineon Technologies AG;40001924;DE0006231004;Wijburg, Dr. Rutger;Vorstand;Aktie;Sonstiges;35,12 EUR;43.411,73 EUR;09.03.2023;09.03.2023;Xetra;10.03.2023 08:17:55
Infineon Technologies AG;40001924;DE0006231004;Wijburg, Dr. Rutger;Vorstand;Aktie;Sonstiges;35,12 EUR;89.773,78 EUR;09.03.2023;09.03.2023;;10.03.2023 08:17:55
Infineon Technologies AG;40001924;DE0006231004;Urschitz, Andreas;Vorstand;Aktie;Sonstiges;35,12 EUR;72.633,87 EUR;09.03.2023;09.03.2023;Xetra;10.03.2023 08:17:55
