Emittent;BaFin-ID;ISIN;Meldepflichtiger;Position / Status;Art des Instruments;Art des Geschäfts;Durchschnittspreis;Aggregiertes Volumen;Mitteilungsdatum;Datum des Geschäfts;Ort des Geschäfts;Datum der Aktivierung
DEUTSCHE BANK AKTIENGESELLSCHAFT;10100003;DE0005140008;Riley, Christiana;Vorstand;Aktie;Sonstiges;8,00 EUR;33.200,00 EUR;02.03.2023;01.03.2023;;03.03.2023 12:37:22
Bayer Aktiengesellschaft;40001030;DE000BAY0017;Winkeljohann, Prof. Dr. Norbert;Aufsichtsrat;Aktie;Sonstiges;56,27 EUR;119.978,30 EUR;03.03.2023;01.03.2023;Xetra;03.03.2023 12:48:22
Bayer Aktiengesellschaft;40001030;DE000BAY0017;Gansewendt, Dr. Barbara;Aufsichtsrat;Aktie;Sonstiges;56,27 EUR;31.626,55 EUR;03.03.2023;01.03.2023;Xetra;03.03.2023 12:48:22
Bayer Aktiengesellschaft;40001030;DE000BAY0017;Baier, Horst;Aufsichtsrat;Aktie;Sonstiges;56,27 EUR;99.944,40 EUR;03.03.2023;01.03.2023;Xetra;03.03.2023 12:42:56
Bayer Aktiengesellschaft;40001030;DE000BAY0017;Achleitner, Dr. Paul;Aufsichtsrat;Aktie;Kauf;56,27 EUR;99.944,40 EUR;03.03.2023;01.03.2023;Xetra;03.03.2023 12:42:56
pferdewetten.de AG;40002028;DE000A30V8X3;Baumgarten, Lars-Wilhelm;Aufsichtsrat;Schuldtitel;Sonstiges;1.000,00 EUR;100.000,00 EUR;06.03.2023;01.03.2023;;07.03.2023 06:01:32
ADTRAN Holdings, Inc.;50087419;;Stanton, Thomas R.;Sonstige Führungsperson;Aktie;Sonstiges;0,00 USD;0,00 USD;06.03.2023;01.03.2023;;07.03.2023 06:01:32
ADTRAN Holdings, Inc.;50087419;;Wilson Jr, James Denson;Sonstige Führungsperson;Aktie;Sonstiges;0,00 USD;0,00 USD;06.03.2023;01.03.2023;;07.03.2023 06:01:32
ADTRAN Holdings, Inc.;50087419;;Wilson Jr, James Denson;Sonstige Führungsperson;Aktie;Sonstiges;0,00 USD;0,00 USD;06.03.2023;01.03.2023;;07.03.2023 06:01:32
ADTRAN Holdings, Inc.;50087419;;Stanton, Thomas R.;Sonstige Führungsperson;Aktie;Sonstiges;0,00 USD;0,00 USD;06.03.2023;01.03.2023;;07.03.2023 06:01:32
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;27,40 EUR;17.344,20 EUR;02.03.2023;01.03.2023;Xetra;02.03.2023 15:40:56
InCity Immobilien AG;40005694;DE000A0HNF96;Realsoul Holding S.A.;in enger Beziehung;Aktie;Kauf;1,28 EUR;448,00 EUR;02.03.2023;01.03.2023;Xetra;03.03.2023 12:37:22
Erlebnis Akademie AG;40024088;DE0001644565;Wühr, Martina;in enger Beziehung;Aktie;Sonstiges;9,80 EUR;98.000,00 EUR;02.03.2023;01.03.2023;;03.03.2023 12:32:08
The Social Chain AG;40023002;DE000A1YC996;FORTUNA Beteiligungsgesellschaft mbH;in enger Beziehung;Aktie;Sonstiges;;;02.03.2023;01.03.2023;;02.03.2023 15:47:12
aap Implantate AG;40001831;;Hahn, Marek;Vorstand;Anderes auf Aktie/schuldtitel bez. FI;Sonstiges;0,00 EUR;0,00 EUR;01.03.2023;28.02.2023;;02.03.2023 15:08:04
flatexDEGIRO AG;10117887;XS2577874782;Aldach, René;Vorstand;Schuldtitel;Kauf;93,50 EUR;187.000,00 EUR;01.03.2023;28.02.2023;Börse Stuttgart;02.03.2023 14:56:19
BASF SE;40000910;DE000BASF111;Kamieth, Dr. Markus;Vorstand;Aktie;Kauf;48,44 EUR;145.314,90 EUR;28.02.2023;28.02.2023;XETRA;02.03.2023 13:25:12
pferdewetten.de AG;40002028;DE000A30V8X3;Dickinger, Jochen;Aufsichtsrat;Schuldtitel;Sonstiges;1.000,00 EUR;240.000,00 EUR;02.03.2023;28.02.2023;;03.03.2023 12:32:08
flatexDEGIRO AG;10117887;DE000FTG1111;Heinrich, Dr. Matthias;Sonstige Führungsperson;Aktie;Kauf;7,51 EUR;37.550,00 EUR;02.03.2023;28.02.2023;XETRA;02.03.2023 15:35:43
flatexDEGIRO AG;10117887;DE000FTG1111;Heinrich, Dr. Matthias;Sonstige Führungsperson;Aktie;Kauf;7,46 EUR;7.590,61 EUR;02.03.2023;28.02.2023;XETRA;02.03.2023 15:40:56
flatexDEGIRO AG;10117887;DE000FTG1111;Heinrich, Dr. Matthias;Sonstige Führungsperson;Aktie;Kauf;7,44 EUR;14.885,38 EUR;02.03.2023;28.02.2023;XETRA;02.03.2023 15:40:56
Deutsche Telekom AG;40000239;DE0005557508;Freitag, Roland;in enger Beziehung;Aktie;Kauf;21,25 EUR;31.882,50 EUR;28.02.2023;28.02.2023;xetra;02.03.2023 13:25:12
aap Implantate AG;40001831;;Langner Asset Management GmbH;in enger Beziehung;Anderes auf Aktie/schuldtitel bez. FI;Sonstiges;0,00 EUR;0,00 EUR;01.03.2023;28.02.2023;;02.03.2023 15:13:04
aap Implantate AG;40001831;;Deepblue Holding AG;in enger Beziehung;Anderes auf Aktie/schuldtitel bez. FI;Sonstiges;0,00 EUR;0,00 EUR;01.03.2023;28.02.2023;;02.03.2023 15:13:04
aap Implantate AG;40001831;;Merval AG;in enger Beziehung;Anderes auf Aktie/schuldtitel bez. FI;Sonstiges;0,00 EUR;0,00 EUR;01.03.2023;28.02.2023;;02.03.2023 15:13:04
aap Implantate AG;40001831;;Krebs, Jürgen;in enger Beziehung;Anderes auf Aktie/schuldtitel bez. FI;Sonstiges;0,00 EUR;0,00 EUR;01.03.2023;28.02.2023;;02.03.2023 15:08:04
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;27,40 EUR;8.494,00 EUR;02.03.2023;28.02.2023;Xetra;02.03.2023 15:40:56
MBB SE;40004863;DE000A0ETBQ4;MBB Capital Management GmbH;in enger Beziehung;Aktie;Kauf;79,58 EUR;658.138,80 EUR;01.03.2023;28.02.2023;XETRA;02.03.2023 15:13:04
